firstName,lastName,teams,primaryTeam,position,nationality,race,yearsActive,batHand,throwHand,awards,birthDay,deathDay,realName,nickNames,yearInducted,commentOne,commentTwo
Hank,Aaron,"[""Milwaukee Braves"", ""Atlanta Braves"", ""Milwaukee Brewers""]","[""Atlanta Braves""]",Right Fielder,American,African American,1954–1976,"[""Right""]","[""Right""]","[""25× All-Star"", ""1957 NL MVP"", ""3× Gold Glove"", ""World Series Champion (1957)"", ""755 career home runs""]",2/5/1934,1/22/2021,Henry Louis Aaron,Hammerin' Hank,1982,Broke Babe Ruth's all-time home run record with 755.,One of the greatest hitters and respected figures in baseball history.
Grover Cleveland,Alexander,"[""Philadelphia Phillies"", ""Chicago Cubs"", ""St. Louis Cardinals""]","[""Philadelphia Phillies""]",Pitcher,American,Caucasian,1911–1930,"[""Right""]","[""Right""]","[""3× Triple Crown"", ""6× NL Wins Leader"", ""6× NL ERA Leader"", ""World Series Champion (1926)""]",2/26/1887,11/4/1950,Grover Cleveland Alexander,Old Pete,1938,One of the greatest pitchers in MLB history with 373 career wins.,Pitched crucial relief in 1926 World Series Game 7 for Cardinals.
Dick,Allen,"[""Philadelphia Phillies"", ""Chicago White Sox"", ""St. Louis Cardinals"", ""Los Angeles Dodgers"", ""Oakland Athletics""]","[""Philadelphia Phillies""]",First Baseman / Third Baseman,American,African American,1963–1977,"[""Right""]","[""Right""]","[""7× All-Star"", ""1972 AL MVP"", ""1964 NL Rookie of the Year"", ""2× AL Home Run Leader""]",3/8/1942,12/7/2020,Richard Anthony Allen,"Wampum Walloper, Crash",,One of the most feared sluggers of the 1960s and 70s.,Known for hitting towering home runs and his complex relationship with the press.
Roberto,Alomar Jr.,"[""San Diego Padres"", ""Toronto Blue Jays"", ""Baltimore Orioles"", ""Cleveland Indians"", ""New York Mets"", ""Chicago White Sox"", ""Arizona Diamondbacks""]","[""Toronto Blue Jays""]",Second Baseman,Puerto Rican,Latino,1988–2004,"[""Switch""]","[""Right""]","[""12× All-Star"", ""10× Gold Glove"", ""4× Silver Slugger"", ""2× World Series Champion (1992, 1993)"", ""1992 ALCS MVP""]",2/5/1968,,Roberto Alomar Velázquez,Robbie,2011,One of the greatest second basemen in MLB history.,Key figure in the Toronto Blue Jays' back-to-back championships.
Walter,Alston,"[""Brooklyn Dodgers"", ""Los Angeles Dodgers""]","[""Los Angeles Dodgers""]",Manager,American,Caucasian,1954–1976 (Manager),"[""Right""]","[""Right""]","[""4× World Series Champion (1955, 1959, 1963, 1965)"", ""NL Manager of the Year (1955, 1959, 1963)""]",12/1/1911,10/1/1984,Walter Emmons Alston,Smokey,1983,"Managed the Dodgers for 23 seasons, winning four World Series titles.",Known for his quiet leadership and one-game MLB playing career.
Sparky,Anderson,"[""Cincinnati Reds"", ""Detroit Tigers""]","[""Cincinnati Reds""]",Manager,American,Caucasian,1970–1995 (Manager),"[""Right""]","[""Right""]","[""3× World Series Champion (1975, 1976, 1984)"", ""2× AL Manager of the Year (1984, 1987)""]",2/22/1934,11/4/2010,George Lee Anderson,Sparky,2000,"First manager to win World Series titles in both leagues (NL with Reds, AL with Tigers).",Beloved figure in both Cincinnati and Detroit for leadership and character.
Luis,Aparicio,"[""Chicago White Sox"", ""Baltimore Orioles"", ""Boston Red Sox""]","[""Chicago White Sox""]",Shortstop,Venezuelan,Latino,1956–1973,"[""Right""]","[""Right""]","[""10× All-Star"", ""9× Gold Glove"", ""1956 AL Rookie of the Year"", ""AL Stolen Base Leader 9×""]",4/29/1934,,Luis Ernesto Aparicio Montiel,Little Louie,1984,Revolutionized the shortstop position with speed and defense.,First Venezuelan player inducted into the Baseball Hall of Fame.
Luke,Appling,"[""Chicago White Sox""]","[""Chicago White Sox""]",Shortstop,American,Caucasian,1930–1950,"[""Right""]","[""Right""]","[""7× All-Star"", ""2× AL Batting Champion (1936, 1943)""]",4/2/1907,1/3/1991,Lucius Benjamin Appling,Old Aches and Pains,1964,Known for exceptional batting eye and consistency over two decades.,Played 20 seasons with the White Sox and served in WWII.
Richie,Ashburn,"[""Philadelphia Phillies"", ""Chicago Cubs"", ""New York Mets""]","[""Philadelphia Phillies""]",Center Fielder,American,Caucasian,1948–1962,"[""Left""]","[""Right""]","[""6× All-Star"", ""2× NL Batting Champion""]",3/19/1927,9/9/1997,Donald Richard Ashburn,Whitey,1995,Beloved Phillies player and later broadcaster.,Key figure in the 1950 'Whiz Kids' NL Pennant team.
Earl,Averill,"[""Cleveland Indians"", ""Detroit Tigers"", ""Boston Braves""]","[""Cleveland Indians""]",Center Fielder,American,Caucasian,1929–1941,"[""Left""]","[""Right""]","[""6× All-Star""]",5/21/1902,8/16/1983,Howard Earl Averill,The Earl of Snohomish,1975,One of the top hitters of the 1930s with consistent power and average.,Played most of his career with the Cleveland Indians.
